canonical_name,alias_name
St. David's Round Rock Medical Center,St. David's Round Rock Medical Center
Texas Oncology-Round Rock,Texas Oncology-Round Rock
Encompass Health Rehabilitation Hospital of Round Rock,Encompass Health Rehabilitation Hospital of Round Rock
DaVita Round Rock Dialysis,DaVita Round Rock Dialysis
Biofeedback Therapies,Biofeedback Therapies
Wyoming Springs Medical Center,Wyoming Springs Medical Center
Central Texas Vascular Surgeons,Central Texas Vascular Surgeons
Family Hospital at Brushy Creek,Family Hospital at Brushy Creek
Texas Urology Specialists-Round Rock,Texas Urology Specialists-Round Rock
Austin heart medical oaks plaza,Austin heart medical oaks plaza
Flow Therapy North Austin,Flow Therapy North Austin
St. David's Round Rock Medical Center - Tower Entrance,St. David's Round Rock Medical Center - Tower Entrance
St David’s Round Rock Medical Care Main Entrance,St David’s Round Rock Medical Care Main Entrance
park valley oaks,park valley oaks
Occupational Surgery,Occupational Surgery
Heart Hospital Austin Imaging Center,Heart Hospital Austin Imaging Center
Outpatient surgery,Outpatient surgery
Outpatient surgery,Outpatient surgery
Oakwood Medical Park,Oakwood Medical Park
Total Point Emergency Center - Round Rock,Total Point Emergency Center - Round Rock
Total Point Emergency Center - Round Rock,Total Point Emergency Center - Round Rock
Vein Treatment Center of Texas | Varicose Vein Treatment Centers,Vein Treatment Center of Texas | Varicose Vein Treatment Centers
