text,label
person says rash after bee sting,allergic_reaction
person says sudden numbness in arm and face,stroke
chest pain spreading to arm,chest_pain
person says not moving or reacting,unconscious
someone mentioned fire injury on arm,burns
someone mentioned trouble seeing in one or both eyes,stroke
someone mentioned possible food poisoning symptoms,poisoning
patient reports sleeping and not waking up,unconscious
chest pain spreading to arm,chest_pain
patient reports sudden sharp chest pain,chest_pain
burning sensation in chest,chest_pain
head is hurting a lot suddenly,headache
person says hives all over body,allergic_reaction
reported chest pain spreading to arm,chest_pain
someone mentioned chemical burn from cleaner,burns
hives all over body,allergic_reaction
reported hot water spilled on leg,burns
reported wheezing and short of breath,breathing_difficulty
ingested cleaning fluid,poisoning
patient reports hot water spilled on leg,burns
someone mentioned trouble seeing in one or both eyes,stroke
someone mentioned gasping for air,breathing_difficulty
reported muscle spasms and convulsions,seizure
person says individual fainted and is not responding,unconscious
patient reports cut on hand is not stopping bleeding,bleeding
someone mentioned cut on hand is not stopping bleeding,bleeding
someone mentioned gasping for air,breathing_difficulty
reported individual fainted and is not responding,unconscious
reported jerking movements noticed,seizure
reported not breathing properly,breathing_difficulty
sleeping and not waking up,unconscious
reported cut on hand is not stopping bleeding,bleeding
patient reports severe allergic reaction,allergic_reaction
reported hot water spilled on leg,burns
patient reports gasping for air,breathing_difficulty
slurred speech and drooping face,stroke
patient reports possible food poisoning symptoms,poisoning
reported jerking movements noticed,seizure
reported chemical burn from cleaner,burns
patient reports chemical burn from cleaner,burns
person says body shaking uncontrollably,seizure
patient reports sudden sharp chest pain,chest_pain
possible food poisoning symptoms,poisoning
patient reports struggling to inhale,breathing_difficulty
someone mentioned individual fainted and is not responding,unconscious
vomiting after chemical exposure,poisoning
patient reports severe blood loss from wound,bleeding
reported hives all over body,allergic_reaction
struggling to inhale,breathing_difficulty
reported severe headache not going away,headache
someone mentioned hives all over body,allergic_reaction
someone mentioned sudden sharp chest pain,chest_pain
reported person suddenly collapsed with twitching,seizure
someone mentioned chemical burn from cleaner,burns
person says bleeding heavily from leg,bleeding
burnt hand while cooking,burns
someone mentioned severe allergic reaction,allergic_reaction
person says possible food poisoning symptoms,poisoning
reported person collapsed suddenly,unconscious
severe allergic reaction,allergic_reaction
person says migraine symptoms with nausea,headache
patient reports blood pouring out after accident,bleeding
reported muscle spasms and convulsions,seizure
patient reports severe allergic reaction,allergic_reaction
person says hives all over body,allergic_reaction
person says burning throat and nausea,poisoning
reported severe headache not going away,headache
person says ingested cleaning fluid,poisoning
sleeping and not waking up,unconscious
person says head is hurting a lot suddenly,headache
sharp pain in forehead,headache
patient reports person collapsed suddenly,unconscious
someone mentioned rash after bee sting,allergic_reaction
reported severe headache not going away,headache
person says muscle spasms and convulsions,seizure
someone mentioned rash after bee sting,allergic_reaction
patient reports bleeding heavily from leg,bleeding
body shaking uncontrollably,seizure
reported not breathing properly,breathing_difficulty
severe blood loss from wound,bleeding
someone mentioned migraine symptoms with nausea,headache
patient reports chest pain spreading to arm,chest_pain
reported severe allergic reaction,allergic_reaction
someone mentioned fire injury on arm,burns
person says chest pain spreading to arm,chest_pain
reported sleeping and not waking up,unconscious
