Hospital,Accepted Insurances
Mayo Clinic,"Oscar Health, Aetna, WellCare"
Cleveland Clinic,"Medical Mutual, Oscar Health, Priority Health"
Massachusetts General Hospital,"CareSource, Harvard Pilgrim, Humana, WellCare, Kaiser Permanente"
Johns Hopkins Hospital,"Medical Mutual, Health Net"
UCLA Medical Center,"Anthem, UnitedHealthcare, Priority Health, Health Net, Blue Cross Blue Shield, Oscar Health"
Cedars-Sinai Medical Center,"UnitedHealthcare, Harvard Pilgrim, Cigna, Amerigroup, Health Net, Blue Cross Blue Shield"
NewYork-Presbyterian Hospital,"EmblemHealth, Health Net, CareSource"
Northwestern Memorial Hospital,"Tufts Health Plan, Aetna, Molina Healthcare, Blue Cross Blue Shield, Harvard Pilgrim"
UCSF Medical Center,"Cigna, EmblemHealth, CareSource, Medical Mutual, Amerigroup, Aetna"
Houston Methodist Hospital,"EmblemHealth, Aetna, Anthem, Centene, Kaiser Permanente, Humana"
NYU Langone Health,"WellCare, Centene, Aetna, Blue Cross Blue Shield, Geisinger, Harvard Pilgrim"
Mount Sinai Hospital,"Humana, EmblemHealth, Health Net, Oscar Health, Tufts Health Plan"
Rush University Medical Center,"Aetna, Medical Mutual, Blue Cross Blue Shield, Centene"
Brigham and Women's Hospital,"Harvard Pilgrim, Aetna, Anthem, Geisinger, Blue Cross Blue Shield, Cigna"
Duke University Hospital,"Geisinger, Harvard Pilgrim"
Stanford Health Care,"Kaiser Permanente, CareSource, Aetna"
University of Chicago Medical Center,"CareSource, Harvard Pilgrim, EmblemHealth, Molina Healthcare, Medical Mutual"
Vanderbilt University Medical Center,"Priority Health, Aetna, CareSource, Oscar Health, Molina Healthcare"
Barnes-Jewish Hospital,"Tufts Health Plan, UnitedHealthcare, Molina Healthcare, Centene"
Emory University Hospital,"Anthem, Molina Healthcare, Blue Cross Blue Shield"
University of Michigan Hospitals,"Amerigroup, Blue Cross Blue Shield, Anthem, CareSource, EmblemHealth"
Keck Hospital of USC,"Medical Mutual, Anthem"
UC San Diego Health,"Cigna, Aetna, Amerigroup, WellCare"
Penn Presbyterian Medical Center,"Anthem, Kaiser Permanente"
Texas Health Presbyterian Hospital Dallas,"Tufts Health Plan, Oscar Health, Molina Healthcare"
IU Health Methodist Hospital,"Priority Health, Aetna"
University of Colorado Hospital,"Priority Health, UnitedHealthcare"
Jefferson Health,"Molina Healthcare, UnitedHealthcare, EmblemHealth, Centene, Kaiser Permanente, Tufts Health Plan"
OHSU Hospital,"Tufts Health Plan, CareSource, Geisinger, Blue Cross Blue Shield, Anthem, UnitedHealthcare"
UCHealth Memorial Hospital,"Cigna, Health Net, Blue Cross Blue Shield, Molina Healthcare, Geisinger"
Scripps Mercy Hospital,"Humana, Health Net, Amerigroup"
Einstein Medical Center,"EmblemHealth, Anthem"
Lahey Hospital & Medical Center,"Centene, Blue Cross Blue Shield, Molina Healthcare"
Froedtert Hospital,"EmblemHealth, Geisinger, Oscar Health"
Baylor University Medical Center,"Aetna, Medical Mutual, Humana, Tufts Health Plan, Oscar Health, Cigna"
Mercy Medical in Chinatown,"Aetna, Medical Mutual, Priority Health, Blue Cross Blue Shield, Anthem"
Mercy Heart & Vascular Center,"EmblemHealth, Molina Healthcare, WellCare, Humana, Anthem"
Provident Hospital of Cook County,"Aetna, Healthcare, Cigna"
John H. Stroger Jr. Hospital of Cook County,"Humana, Molina Healthcare, WellCare"
Swedish Hospital,"Kaiser Permanente, Aetna, Geisinger"
Lurie Children's Hospital,"Blue Cross Blue Shield, UnitedHealthcare, Tufts Health Plan"
Northwestern Memorial Hospital,"Anthem, Cigna, Health Net"
Advocate Illinois Masonic Medical Center,"Centene, Amerigroup, Humana"
Advocate Lutheran General Hospital,"WellCare, Oscar Health, Medical Mutual"
Evanston Hospital,"Cigna, Priority Health, CareSource"
Glenbrook Hospital,"Cigna, Priority Health, CareSource"
Voda Vein Center,Anthem
DaVita Kenwood Ht At Home,Medical Mutual
